listing_id,year_month,reviews
1109224,2020-10-01,1
1109224,2021-05-01,1
1109224,2021-06-01,1
1109224,2021-10-01,1
1109224,2021-11-01,2
1109224,2021-12-01,1
1109224,2022-01-01,1
1109224,2022-05-01,1
1109224,2022-07-01,1
1109224,2022-08-01,1
1109224,2022-09-01,1
1109224,2022-12-01,2
1109224,2023-08-01,1
1109224,2023-09-01,1
1109224,2023-10-01,1
1109224,2024-04-01,1
1109224,2024-05-01,1
1109224,2024-10-01,1
1109224,2025-05-01,1
1109224,2025-06-01,1
1109224,2025-07-01,1
1130279,2013-05-01,2
1130279,2013-06-01,3
1130279,2013-07-01,3
1130279,2013-08-01,5
1130279,2013-09-01,2
1130279,2013-10-01,4
1130279,2013-11-01,5
1130279,2013-12-01,1
1130279,2014-03-01,1
1130279,2014-04-01,1
1130279,2014-05-01,2
1130279,2014-06-01,3
1130279,2014-07-01,2
1130279,2014-08-01,3
1130279,2014-09-01,7
1130279,2014-10-01,4
1130279,2014-11-01,3
1130279,2014-12-01,1
1130279,2015-01-01,1
1130279,2015-03-01,2
1130279,2015-04-01,3
1130279,2015-05-01,5
1130279,2015-06-01,3
1130279,2015-07-01,7
1130279,2015-08-01,6
1130279,2015-09-01,5
1130279,2015-10-01,2
1130279,2022-06-01,2
1130279,2022-07-01,4
1130279,2022-08-01,4
1130279,2022-09-01,4
1130279,2022-10-01,3
1130279,2022-11-01,2
1130279,2022-12-01,2
1130279,2023-03-01,3
1130279,2023-04-01,3
1130279,2023-05-01,3
1130279,2023-06-01,4
1130279,2023-07-01,6
1130279,2023-08-01,7
1130279,2023-09-01,6
1130279,2023-10-01,6
1130279,2023-11-01,1
1130279,2024-02-01,1
1130279,2024-03-01,1
1130279,2024-04-01,2
1130279,2024-05-01,1
1130279,2024-06-01,3
1130279,2024-07-01,6
1130279,2024-08-01,3
1130279,2024-09-01,4
1130279,2024-10-01,5
1130279,2024-11-01,4
1130279,2025-02-01,1
1130279,2025-03-01,3
1130279,2025-04-01,4
1130279,2025-05-01,4
1130279,2025-06-01,4
1130279,2025-07-01,6
1130279,2025-08-01,5
1161210,2013-06-01,7
1161210,2013-07-01,1
1161210,2013-08-01,4
1161210,2013-09-01,10
1161210,2013-10-01,7
1161210,2013-11-01,7
1161210,2013-12-01,4
1161210,2014-01-01,5
1161210,2014-02-01,2
1161210,2014-03-01,8
1161210,2014-04-01,8
1161210,2014-05-01,6
1161210,2014-06-01,5
1161210,2014-07-01,4
1161210,2014-08-01,3
1161210,2014-09-01,5
1161210,2014-10-01,2
1161210,2014-11-01,4
1161210,2014-12-01,3
1161210,2015-01-01,1
1161210,2015-03-01,4
1161210,2015-04-01,4
1161210,2015-05-01,4
1161210,2015-06-01,5
1161210,2015-07-01,3
1161210,2015-08-01,9
1161210,2015-09-01,8
1161210,2015-10-01,5
1161210,2015-11-01,1
1161210,2015-12-01,1
1161210,2016-02-01,3
1161210,2016-03-01,3
1161210,2016-04-01,6
1161210,2016-05-01,4
1161210,2016-06-01,3
1161210,2016-08-01,2
1161210,2016-09-01,5
1161210,2016-10-01,3
1161210,2017-01-01,1
1161210,2017-02-01,2
1161210,2017-03-01,2
1161210,2017-04-01,5
1161210,2017-05-01,3
1161210,2017-06-01,3
1161210,2017-07-01,3
1161210,2017-08-01,5
1161210,2017-09-01,1
1161210,2018-07-01,7
1161210,2018-08-01,4
1161210,2019-08-01,2
1161210,2025-08-01,1
1161210,2025-09-01,1
1252489,2013-06-01,4
1252489,2013-07-01,1
1252489,2013-08-01,3
1252489,2013-09-01,4
1252489,2013-10-01,3
1252489,2013-11-01,3
1252489,2014-02-01,2
1252489,2014-04-01,3
1252489,2014-05-01,1
1252489,2014-06-01,3
1252489,2014-07-01,3
1252489,2014-08-01,4
1252489,2014-09-01,3
1252489,2014-10-01,1
1252489,2014-12-01,1
1252489,2015-03-01,1
1252489,2015-04-01,3
1252489,2015-05-01,1
1252489,2015-06-01,2
1252489,2015-07-01,1
1252489,2015-08-01,2
1252489,2015-09-01,3
1252489,2015-10-01,3
1252489,2015-11-01,1
1252489,2016-03-01,1
1252489,2016-04-01,1
1252489,2016-05-01,1
1252489,2016-07-01,3
1252489,2017-08-01,2
1275498,2013-08-01,1
1275498,2013-12-01,1
1275498,2014-01-01,1
1275498,2014-03-01,1
1275498,2014-04-01,2
1275498,2014-05-01,1
1275498,2014-07-01,1
1275498,2014-09-01,1
1275498,2014-10-01,1
1275498,2015-06-01,1
1275498,2015-09-01,1
1275498,2016-02-01,1
1275498,2016-05-01,1
1275498,2016-08-01,1
1275498,2017-03-01,1
1275498,2017-04-01,1
1275498,2017-07-01,2
1275498,2018-05-01,1
1275498,2018-08-01,1
1275498,2018-10-01,2
1275498,2019-03-01,1
1275498,2019-04-01,2
1275498,2019-05-01,2
1275498,2019-06-01,4
1275498,2019-07-01,1
1275498,2019-08-01,1
1275498,2019-09-01,1
1275498,2019-11-01,1
1275498,2019-12-01,2
1275498,2020-01-01,1
1275498,2020-02-01,4
1275498,2020-03-01,3
1275498,2020-08-01,1
1275498,2020-09-01,1
1275498,2020-10-01,1
1275498,2020-11-01,1
1275498,2021-01-01,1
1275498,2021-02-01,1
1275498,2021-03-01,3
1275498,2021-04-01,1
1275498,2021-06-01,1
1275498,2021-07-01,1
1275498,2021-08-01,1
1275498,2021-09-01,3
1275498,2021-10-01,2
1275498,2021-11-01,1
1275498,2022-01-01,1
1275498,2022-02-01,1
1275498,2022-05-01,2
1275498,2022-06-01,2
1275498,2022-08-01,1
1275498,2022-09-01,4
1275498,2022-10-01,2
1275498,2022-11-01,4
1275498,2022-12-01,1
1275498,2023-02-01,1
1275498,2023-05-01,5
1275498,2023-06-01,1
1275498,2023-07-01,3
1275498,2023-09-01,3
1275498,2023-10-01,3
1275498,2023-11-01,2
1275498,2024-02-01,1
1275498,2024-04-01,1
1275498,2024-05-01,4
1275498,2024-06-01,1
1275498,2024-07-01,1
1275498,2024-09-01,1
1275498,2024-10-01,3
1275498,2025-02-01,1
1275498,2025-04-01,1
1275498,2025-05-01,2
1275498,2025-06-01,2
1275498,2025-08-01,2
1275498,2025-09-01,2
1303261,2013-10-01,3
1303261,2014-04-01,3
1303261,2014-05-01,2
1303261,2014-06-01,1
1303261,2014-08-01,1
1303261,2014-09-01,2
1303261,2015-05-01,4
1303261,2015-06-01,1
1303261,2015-09-01,1
1303261,2016-07-01,1
1303261,2018-06-01,1
1303261,2018-10-01,3
1321422,2013-07-01,3
1321422,2013-08-01,8
1321422,2013-09-01,8
1321422,2013-10-01,4
1321422,2013-12-01,2
1321422,2014-01-01,2
1321422,2014-05-01,1
1321422,2014-06-01,3
1321422,2014-07-01,6
1321422,2014-08-01,10
1321422,2014-09-01,1
1321422,2015-01-01,2
1321422,2015-02-01,5
1321422,2015-03-01,3
1321422,2015-04-01,12
1321422,2015-05-01,10
1321422,2015-06-01,7
1321422,2015-07-01,8
1321422,2015-08-01,7
1321422,2015-09-01,10
1321422,2015-10-01,11
1321422,2015-11-01,5
1321422,2015-12-01,7
1321422,2016-01-01,10
1321422,2016-02-01,6
1321422,2016-03-01,5
1321422,2016-04-01,10
1321422,2016-05-01,7
1321422,2016-06-01,8
1321422,2016-07-01,8
1321422,2016-08-01,5
1321422,2016-09-01,10
1321422,2016-10-01,10
1321422,2016-11-01,4
1321422,2016-12-01,9
1321422,2017-01-01,6
1321422,2017-02-01,11
1321422,2017-03-01,7
1321422,2017-04-01,6
1321422,2017-05-01,9
1321422,2017-06-01,14
1321422,2017-07-01,13
1321422,2017-08-01,14
1321422,2017-09-01,9
1321422,2017-10-01,13
1321422,2017-11-01,9
1321422,2017-12-01,7
1321422,2018-01-01,3
1321422,2018-02-01,5
1321422,2018-03-01,11
1321422,2018-04-01,7
1321422,2018-05-01,12
1321422,2018-06-01,6
1321422,2018-07-01,11
1321422,2018-08-01,10
1321422,2018-09-01,12
1321422,2018-10-01,9
1321422,2018-11-01,12
1321422,2018-12-01,12
1321422,2019-01-01,6
1321422,2019-02-01,7
1321422,2019-03-01,9
1321422,2019-04-01,5
1321422,2019-05-01,5
1321422,2019-06-01,9
1321422,2019-07-01,13
1321422,2019-08-01,13
1321422,2019-09-01,10
1321422,2019-10-01,11
1321422,2019-11-01,10
1321422,2019-12-01,6
1321422,2020-01-01,8
1321422,2020-02-01,6
1321422,2020-03-01,6
1321422,2022-04-01,6
1321422,2022-05-01,5
1321422,2022-06-01,2
1321422,2022-07-01,5
1321422,2022-08-01,3
1321422,2023-09-01,9
1321422,2023-10-01,1
1321422,2023-11-01,3
1321422,2023-12-01,3
1321422,2024-01-01,1
1321422,2024-02-01,3
1321422,2024-03-01,7
1321422,2024-04-01,2
1321422,2024-05-01,6
1321422,2024-06-01,9
1321422,2024-07-01,7
1321422,2024-08-01,12
1321422,2024-09-01,10
1321422,2024-10-01,3
1321422,2025-06-01,3
1321422,2025-07-01,3
1445064,2013-09-01,2
1445064,2013-10-01,2
1445064,2014-04-01,1
1445064,2014-05-01,5
1445064,2014-06-01,2
1445064,2014-07-01,4
1445064,2014-08-01,6
1445064,2014-09-01,6
1445064,2014-10-01,7
1445064,2014-11-01,3
1445064,2015-03-01,1
1445064,2015-04-01,3
1445064,2015-05-01,6
1445064,2015-06-01,5
1445064,2015-07-01,4
1445064,2015-08-01,6
1445064,2015-09-01,5
1445064,2015-10-01,4
1445064,2016-04-01,1
1445064,2016-12-01,1
1445064,2017-02-01,1
1445064,2017-05-01,1
1445064,2017-09-01,1
1445064,2017-11-01,5
1445064,2017-12-01,1
1445064,2018-02-01,1
1445064,2018-05-01,6
1445064,2018-06-01,1
1445064,2018-07-01,2
1445064,2018-08-01,1
1445064,2019-02-01,1
1445064,2019-03-01,2
1445064,2019-04-01,1
1445064,2019-06-01,1
1445064,2019-07-01,1
1445064,2019-08-01,1
1445064,2019-09-01,1
1445064,2019-11-01,1
1445064,2020-04-01,1
1445064,2020-08-01,1
1445064,2021-01-01,1
1445064,2021-03-01,1
1445064,2021-08-01,1
1445064,2021-12-01,1
1445064,2022-08-01,1
1445064,2022-10-01,1
1445064,2022-12-01,1
1445064,2023-06-01,1
1445064,2023-09-01,1
1445064,2024-04-01,1
1445064,2024-05-01,1
1445064,2024-10-01,1
1445064,2024-11-01,1
1445064,2025-03-01,1
1445064,2025-04-01,1
1445064,2025-07-01,2
1472520,2013-08-01,3
1472520,2013-09-01,5
1472520,2013-10-01,10
1472520,2013-12-01,3
1472520,2014-04-01,6
1472520,2014-05-01,4
1472520,2014-06-01,8
1472520,2014-07-01,7
1472520,2014-08-01,12
1472520,2014-09-01,10
1472520,2014-10-01,10
1472520,2014-11-01,6
1472520,2014-12-01,1
1472520,2015-01-01,1
1472520,2015-03-01,5
1472520,2015-04-01,4
1472520,2015-05-01,9
1472520,2015-06-01,11
1472520,2015-07-01,14
1472520,2015-08-01,7
1472520,2015-09-01,9
1472520,2015-10-01,8
1472520,2015-11-01,4
1472520,2015-12-01,4
1472520,2016-01-01,5
1472520,2016-02-01,9
1472520,2016-03-01,9
1472520,2016-04-01,9
1472520,2016-05-01,9
1472520,2016-06-01,8
1472520,2016-07-01,9
1472520,2016-08-01,9
1472520,2016-09-01,13
1472520,2016-10-01,11
1472520,2016-11-01,9
1472520,2016-12-01,7
1472520,2017-02-01,13
1472520,2017-03-01,7
1472520,2017-04-01,10
1472520,2017-05-01,9
1472520,2017-06-01,11
1472520,2017-07-01,9
1472520,2017-08-01,10
